condition,step,episode_index,success,sum_reward,max_reward,video_path
baseline,040000,0,false,105.0,2.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_040000/aloha_0/eval_episode_0.mp4
baseline,040000,1,false,0.0,0.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_040000/aloha_0/eval_episode_1.mp4
baseline,040000,2,true,242.0,4.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_040000/aloha_0/eval_episode_2.mp4
baseline,040000,3,true,276.0,4.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_040000/aloha_0/eval_episode_3.mp4
baseline,060000,0,false,5.0,1.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_060000/aloha_0/eval_episode_0.mp4
baseline,060000,1,true,164.0,4.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_060000/aloha_0/eval_episode_1.mp4
baseline,060000,2,true,179.0,4.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_060000/aloha_0/eval_episode_2.mp4
baseline,060000,3,false,99.0,2.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_060000/aloha_0/eval_episode_3.mp4
baseline,080000,0,false,95.0,2.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_080000/aloha_0/eval_episode_0.mp4
baseline,080000,1,true,165.0,4.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_080000/aloha_0/eval_episode_1.mp4
baseline,080000,2,true,187.0,4.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_080000/aloha_0/eval_episode_2.mp4
baseline,080000,3,true,300.0,4.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_080000/aloha_0/eval_episode_3.mp4
baseline,100000,0,false,58.0,2.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_100000/aloha_0/eval_episode_0.mp4
baseline,100000,1,true,226.0,4.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_100000/aloha_0/eval_episode_1.mp4
baseline,100000,2,true,179.0,4.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_100000/aloha_0/eval_episode_2.mp4
baseline,100000,3,true,273.0,4.0,/root/shared-nvme/act-robot-learning/experiments/baseline/act_aloha_transfer_cube_seed1000/eval/videos_step_100000/aloha_0/eval_episode_3.mp4
long,020000,0,true,252.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_150_seed1000/eval/videos_step_020000/aloha_0/eval_episode_0.mp4
long,020000,1,true,142.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_150_seed1000/eval/videos_step_020000/aloha_0/eval_episode_1.mp4
